REWARD PER EPISODE FOR SARSA
Reward for episode 963: 75.
Reward for episode 964: 75.
Reward for episode 965: 75.
Reward for episode 966: 75.
Reward for episode 967: 75.
Reward for episode 968: 75.
Reward for episode 969: 75.
Reward for episode 970: 73.
Reward for episode 971: 75.
Reward for episode 972: 75.
Reward for episode 973: 75.
Reward for episode 974: 75.
Reward for episode 975: 75.
Reward for episode 976: 75.
Reward for episode 977: 75.
Reward for episode 978: 75.
Reward for episode 979: 75.
Reward for episode 980: 75.
Reward for episode 981: 75.
Reward for episode 982: 73.
Reward for episode 983: -1000.
Reward for episode 984: -1000.
Reward for episode 985: -310.
Reward for episode 986: -1000.
Reward for episode 987: -1050.
Reward for episode 988: -484.
Reward for episode 989: -504.
Reward for episode 990: -135.
Reward for episode 991: -151.
Reward for episode 992: -110.
Reward for episode 993: -110.
Reward for episode 994: 69.
Reward for episode 995: 73.
Reward for episode 996: 64.
Reward for episode 997: 69.
Reward for episode 998: 72.
Reward for episode 999: -174.
Reward for episode 1000: 33.
Reward for episode 1001: 73.
Reward for episode 1002: 73.
Reward for episode 1003: 73.
Reward for episode 1004: 73.
Reward for episode 1005: 73.
Reward for episode 1006: 73.
Reward for episode 1007: 73.
Reward for episode 1008: 73.
Reward for episode 1009: 73.
Reward for episode 1010: 73.
Reward for episode 1011: 73.
Reward for episode 1012: 73.
Reward for episode 1013: 73.
Reward for episode 1014: 73.
Reward for episode 1015: 73.
Reward for episode 1016: 73.
Reward for episode 1017: 73.
Reward for episode 1018: 73.
Reward for episode 1019: 73.
Reward for episode 1020: 73.
Reward for episode 1021: 73.
Reward for episode 1022: 73.
Reward for episode 1023: 73.
Reward for episode 1024: 73.
Reward for episode 1025: 73.
Reward for episode 1026: 73.
Reward for episode 1027: 73.
Reward for episode 1028: 73.
Reward for episode 1029: 73.
Reward for episode 1030: 73.
Reward for episode 1031: 73.
Reward for episode 1032: 73.
Reward for episode 1033: 73.
Reward for episode 1034: 73.
Reward for episode 1035: 73.
Reward for episode 1036: 73.
Reward for episode 1037: 73.
Reward for episode 1038: 73.
Reward for episode 1039: 73.
Reward for episode 1040: 73.
Reward for episode 1041: 73.
Reward for episode 1042: 73.
Reward for episode 1043: 73.
Reward for episode 1044: 73.
Reward for episode 1045: 73.
