REWARD PER EPISODE FOR Q-LEARNING
Reward for episode 769: 90.
Reward for episode 770: 89.
Reward for episode 771: 90.
Reward for episode 772: 90.
Reward for episode 773: 90.
Reward for episode 774: 91.
Reward for episode 775: 89.
Reward for episode 776: 90.
Reward for episode 777: 89.
Reward for episode 778: 89.
Reward for episode 779: 88.
Reward for episode 780: 39.
Reward for episode 781: 90.
Reward for episode 782: 90.
Reward for episode 783: 91.
Reward for episode 784: 89.
Reward for episode 785: 88.
Reward for episode 786: 88.
Reward for episode 787: 89.
Reward for episode 788: 91.
Reward for episode 789: 90.
Reward for episode 790: 91.
Reward for episode 791: 90.
Reward for episode 792: 89.
Reward for episode 793: 88.
Reward for episode 794: 90.
Reward for episode 795: 90.
Reward for episode 796: 90.
Reward for episode 797: 90.
Reward for episode 798: 88.
Reward for episode 799: 88.
Reward for episode 800: 91.
Reward for episode 801: 91.
Reward for episode 802: 90.
Reward for episode 803: 89.
Reward for episode 804: 88.
Reward for episode 805: 89.
Reward for episode 806: 88.
Reward for episode 807: 89.
Reward for episode 808: 90.
Reward for episode 809: 90.
Reward for episode 810: 88.
Reward for episode 811: 91.
Reward for episode 812: 90.
Reward for episode 813: 91.
Reward for episode 814: 88.
Reward for episode 815: 90.
Reward for episode 816: 89.
Reward for episode 817: 89.
Reward for episode 818: 90.
Reward for episode 819: 89.
Reward for episode 820: 90.
Reward for episode 821: 89.
Reward for episode 822: 89.
Reward for episode 823: 89.
Reward for episode 824: 90.
Reward for episode 825: 90.
Reward for episode 826: 89.
Reward for episode 827: 89.
Reward for episode 828: 90.
Reward for episode 829: 88.
Reward for episode 830: 88.
Reward for episode 831: 90.
Reward for episode 832: 90.
Reward for episode 833: 91.
Reward for episode 834: 91.
Reward for episode 835: 90.
Reward for episode 836: 91.
Reward for episode 837: 88.
Reward for episode 838: 90.
Reward for episode 839: 88.
Reward for episode 840: 89.
Reward for episode 841: 91.
Reward for episode 842: 91.
Reward for episode 843: 88.
Reward for episode 844: 87.
Reward for episode 845: 91.
Reward for episode 846: 89.
Reward for episode 847: 90.
Reward for episode 848: 91.
Reward for episode 849: 89.
Reward for episode 850: 91.
Reward for episode 851: 90.
Reward for episode 852: 91.
Reward for episode 853: 88.
Reward for episode 854: 91.
Reward for episode 855: 88.
Reward for episode 856: 89.
Reward for episode 857: 89.
Reward for episode 858: 91.
Reward for episode 859: 90.
Reward for episode 860: 87.
Reward for episode 861: 91.
Reward for episode 862: 91.
Reward for episode 863: 91.
Reward for episode 864: 91.
Reward for episode 865: 89.
Reward for episode 866: 91.
Reward for episode 867: 91.
Reward for episode 868: 90.
Reward for episode 869: 90.
Reward for episode 870: 91.
Reward for episode 871: 91.
Reward for episode 872: 89.
Reward for episode 873: 90.
Reward for episode 874: 88.
Reward for episode 875: 87.
Reward for episode 876: 89.
Reward for episode 877: 89.
Reward for episode 878: 89.
Reward for episode 879: 90.
Reward for episode 880: 87.
Reward for episode 881: 90.
